Origin Countries,State Code,AUS,NZL,ASM,COK,FJI,PYF,GUM,KIR,MHL,FSM,NRU,NCL,NFK,MNP,NIU,PLW,PNG,WSM,SLB,TKL,TON,TUV,VUT,WLF,CHN,HKG,JPN,KOR,TWN,MAC,MNG,PRK,IDN,MYS,PHL,SGP,THA,VNM,BRN,KHM,LAO,MMR,TLS,BGD,IND,LKA,AFG,BTN,MDV,NPL,PAK,CAN,USA,MEX,BMU,GRL,SPM,COL,PER,VEN,BOL,ECU,ARG,BRA,CHL,URY,FLK,GUF,GUY,PRY,SUR,BLZ,CRI,SLV,GTM,HND,NIC,PAN,ATG,BHS,BRB,DMA,DOM,GRD,HTI,JAM,PRI,KNA,LCA,VCT,TTO,VIR,AIA,ABW,CYM,CUB,GLP,MTQ,MSR,ANT,TCA,VGB,AUT,BEL,DNK,FIN,FRA,DEU,GBR,GRC,IRL,ITA,LUX,NLD,PRT,ESP,SWE,CHE,ISL,LIE,NOR,AND,BIH,FRO,GIB,MKD,MCO,SMR,SCG,ALB,BGR,HRV,CYP,CZE,HUN,MLT,POL,ROM,SVK,SVN,EST,LVA,LTU,RUS,ARM,AZE,BLR,GEO,KAZ,KGZ,MDA,TJK,TKM,UKR,UZB,TUR,BHR,IRN,IRQ,ISR,JOR,KWT,LBN,PSE,OMN,QAT,SAU,SYR,ARE,YEM,MAR,TUN,DZA,EGY,LBY,BWA,ZAF,LSO,NAM,SWZ,MWI,MOZ,TZA,ZMB,ZWE,AGO,COD,MUS,SYC,MDG,UGA,BEN,BFA,BDI,CMR,CPV,CAF,TCD,COM,COG,CIV,DJI,GNQ,ERI,ETH,GAB,GMB,GHA,GIN,GNB,KEN,LBR,MLI,MRT,MYT,NER,NGA,REU,RWA,SHN,STP,SEN,SLE,SOM,SDN,TGO
Australia,AUS,0,56173,6,129,1521,14,5,9,141,0,67,23,776,0,1,5,14530,427,298,0,0,16,414,13,2543,2800,6148,756,113,5,5,83,1517,280,10922,11,1595,66,372,344,13,36,16,7,797,509,21,6,2,712,5274,20156,75390,274,5,27,7,254,104,126,76,115,304,356,940,289,33,3,0,27,4,10,19,5,39,10,21,50,4,53,30,1,34,6,13,2,306,3,0,1,19,7,0,28,41,172,3,11,0,0,0,2,1776,1136,1663,656,4510,25355,108131,20451,6109,2390,102,9529,1194,3913,2525,3968,72,1,1104,58,2,27,5,1,15,53,3718,17,21,799,843,230,258,1965,634,21,52,14,39,11,20,1443,19,0,33,23,28,83,83,101,53,823,1132,2938,127,21,75,1893,1481,2329,314,284,4,0,16,61,567,125,204,10,365,588,435,1,3692,2,0,4,162,43,12,357,1269,100,1213,79,8,16,185,5,351,28,0,0,0,7,4,3,0,10,0,5,63,7,22,319,211,27,175,13,16,1,0,27,728,8,9,0,0,6,2,8,0,38
New Zealand,NZL,355765,0,230,1028,1410,18,6,43,1,0,327,110,481,0,126,24,944,1906,120,2,0,9,160,63,1594,3577,2401,24,144,6,7,52,473,358,1227,14,2403,27,170,8,0,47,5,9,3076,5,33,9,3,979,7251,9921,26447,75,2,10,8,21,28,14,24,35,388,47,127,11,21,1,0,14,1,3,24,6,3,3,0,35,7,16,2,1,3,6,14,3,392,3,0,1,24,9,0,35,30,220,3,14,0,11,1,2,288,301,538,86,1146,12032,58433,509,2257,409,36,3582,50,331,763,1408,42,1,348,6,3,11,2,1,19,23,1577,2,27,58,26,35,35,4,52,2,3,18,50,1,0,1848,24,0,43,29,36,107,107,129,67,1047,1450,290,163,21,65,2409,1536,2983,272,354,4,0,16,63,588,109,137,7,244,128,557,1,737,1,0,5,41,55,16,42,259,20,1553,4,2,20,318,5,296,38,0,0,0,10,5,4,0,13,0,7,83,9,28,409,119,34,229,16,9,1,0,35,3,2,11,0,0,5,3,11,0,49
American Samoa,ASM,154,402,0,31,142,1,3,135,0,0,3,1,0,6,0,0,32,2030,11,0,0,2,3,1,77,285,0,1,11,0,1,3,10,29,33,1,21,1,0,1,0,4,0,1,234,0,2,1,0,75,552,40,33258,2,2,9,1,0,18,1,0,0,30,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,3,7,0,267,2,0,0,2,98,0,3,0,18,2,1,0,0,0,0,1,0,0,0,1,394,36,14,0,752,0,2,0,0,0,8,0,0,2,0,0,0,0,0,2,0,23,0,2,0,1,24,0,0,0,0,6,1,4,0,0,147,2,0,3,2,3,9,9,10,5,80,115,0,13,2,5,184,115,237,20,28,0,0,1,5,44,8,9,0,16,0,44,0,0,0,0,0,1,4,1,3,3,0,124,0,0,2,24,0,23,3,0,0,0,1,0,0,0,1,0,1,6,1,2,33,9,3,17,1,1,0,0,3,0,0,1,0,0,0,0,1,0,4
Cook Islands,COK,4742,15224,20,0,62,1,5,47,0,0,18,6,1,4,0,1,18,18,6,0,0,1,2,4,43,158,0,1,6,0,0,1,6,16,18,1,12,1,0,0,0,2,0,0,131,0,1,0,0,42,309,10,129,1,0,0,0,0,10,0,0,0,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,17,0,0,0,1,0,0,2,0,10,0,1,0,0,0,0,1,0,0,0,4,225,41,5,0,430,0,13,0,0,0,5,0,0,1,0,0,0,0,0,1,0,14,0,1,0,0,3,0,0,0,0,0,1,2,0,0,82,1,0,2,1,2,5,5,6,3,45,64,0,7,1,3,103,64,132,11,16,0,0,1,3,25,5,5,0,9,0,25,0,0,0,0,0,1,2,1,2,1,0,69,0,0,1,14,0,13,2,0,0,0,0,0,0,0,1,0,0,4,0,1,18,5,1,10,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2
Fiji,FJI,44261,25733,153,114,0,5,33,9,1,0,67,2534,2,24,2,5,115,175,182,0,203,119,50,13,295,990,101,4,40,2,2,10,59,99,327,4,75,5,1,2,0,13,1,3,206,1,6,2,1,239,1768,22800,31477,2,3,15,2,0,1,1,1,1,108,13,10,0,0,0,0,0,0,2,7,2,1,2,0,1,0,0,1,0,0,2,4,1,109,1,0,0,7,3,0,10,1,61,1,4,0,0,0,1,4,17,20,7,106,1256,3485,10,21,21,3,64,1,17,42,176,0,0,24,2,1,1,0,0,5,1,101,0,8,1,2,7,0,1,2,0,0,5,14,0,0,512,7,0,12,8,10,30,30,36,19,291,402,2,45,6,17,669,419,826,73,98,1,0,4,17,160,29,31,2,56,2,154,0,0,0,0,1,4,15,4,11,9,1,430,1,0,6,88,1,82,10,0,0,0,3,1,1,0,4,0,2,23,2,8,113,33,10,64,5,2,0,0,10,1,0,3,0,0,1,1,3,0,14
French Polynesia,PYF,347,465,3,3,638,0,1,584,0,0,3,1085,0,1,0,0,3,1,1,0,0,0,0,1,7,25,0,0,1,0,0,0,1,2,3,0,2,0,0,0,0,0,0,0,20,0,0,0,0,6,48,0,1,3,0,0,7,0,2,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,67,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,1,1,0,7,10,0,1,0,0,16,10,20,2,2,0,0,0,0,4,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,GUM,50,33,71,68,512,3,0,0,1,0,2,1,0,1590,0,256,68,32,24,0,0,5,6,0,168,618,0,2,25,1,1,5,528,62,4600,2,47,22,1,1,0,8,6,2,508,1,5,1,0,162,1198,65,71747,372,4,20,1,0,38,1,0,0,65,8,4,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,3,1,0,7,14,1,580,4,0,0,4,213,0,6,0,38,3,2,0,0,1,0,3,1,0,0,0,850,74,3,0,1620,0,1,0,0,0,17,0,0,1,1,1,0,0,0,3,1,49,0,5,1,0,0,0,1,2,0,0,3,9,0,0,320,4,0,7,5,6,18,18,22,12,173,251,1,28,3,11,398,249,516,44,61,1,0,3,10,95,18,19,1,34,0,96,0,0,0,0,1,2,9,3,6,6,0,269,1,0,3,53,1,49,6,0,0,0,2,1,1,0,2,0,1,14,2,5,71,20,6,38,3,2,0,0,6,1,0,2,0,0,1,0,2,0,8
Kiribati,KIR,407,507,3,3,265,0,1,0,0,0,2,1,0,1,0,0,3,20,816,0,0,66,0,0,9,25,7,0,1,0,0,0,1,3,3,0,2,0,0,0,0,0,0,0,22,0,0,0,0,7,51,40,1011,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3,0,1,47,180,3,0,5,0,3,0,0,5,9,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,1,1,1,0,7,10,0,1,0,0,17,11,21,2,2,0,0,0,0,4,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,MHL,18,16,9,8,167,0,251,0,0,0,1,0,0,132,0,0,9,4,3,0,0,1,1,0,22,77,6,0,3,0,0,1,233,8,2068,0,6,9,0,0,0,1,2,0,63,0,1,0,0,20,149,35,7337,1,0,2,0,0,2,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,72,0,0,0,1,26,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,106,2,0,0,203,1,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,40,1,0,1,1,1,2,2,3,1,21,31,1,3,0,1,49,31,64,6,8,0,0,0,1,12,2,2,0,4,0,12,0,0,0,0,0,0,1,0,1,1,0,33,0,0,0,7,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,1,9,2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Micronesia, Federated States of",FSM,10,29,20,18,392,1,6983,1,0,0,9,3,0,2197,0,326,18,8,6,0,0,1,2,2,49,165,17,1,7,0,0,2,447,17,3972,1,12,18,0,0,0,2,5,0,136,0,1,0,0,43,320,15,7469,1,0,2,0,0,1,0,0,1,17,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,4,0,155,1,0,0,1,57,0,2,0,10,1,1,0,0,0,0,1,0,0,0,1,238,7,5,0,455,0,0,0,76,0,16,0,0,1,0,0,0,0,0,1,0,15,0,1,0,0,0,0,0,0,0,0,1,2,0,0,85,1,0,2,1,2,5,5,6,3,46,67,0,8,1,3,106,66,138,12,16,0,0,1,3,25,5,5,0,9,0,26,0,0,0,0,0,1,3,1,2,2,0,72,0,0,1,14,0,13,2,0,0,0,0,0,0,0,1,0,0,4,0,1,19,5,2,10,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2
